"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9230769230769231"	""	""	"FGFR4"	"0.88"	"0.4"	"fibroblast growth factor receptor 4"	"1.4215E-15"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"19"	"280"	"0"	"9"	"238"	"0"	"R-HSA-162582,R-HSA-1643685"	"Signal Transduction,Disease"	"Kinase"	"0.9"	"Neoplastic Process (T191)"	"disease"	"P22455,J3KPQ0,B4DVP5"	"C0152013"	"ENSG00000160867"	"2264"	"protein-coding"	"1"	"0"	"0"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9705882352941176"	""	""	"TERT"	"0.92"	"0.35"	"telomerase reverse transcriptase"	"0.0018566"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"98"	"280"	"0"	"897"	"238"	"5"	"R-HSA-1266738,R-HSA-162582,R-HSA-1640170"	"Developmental Biology,Signal Transduction,Cell Cycle"	"Enzyme"	"0.9"	"Neoplastic Process (T191)"	"disease"	"O14746"	"C0152013"	"ENSG00000164362"	"7015"	"protein-coding"	"0"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.96875"	""	"2016"	"MYC"	"0.88"	"0.32"	"MYC proto-oncogene, bHLH transcription factor"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2016"	"62"	"280"	"2"	"7"	"238"	"0"	"R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897"	"Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli"	"Transcription factor"	"0.85"	"Neoplastic Process (T191)"	"disease"	"P01106"	"C0152013"	"ENSG00000136997"	"4609"	"protein-coding"	"0"	"16"	"16"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9615384615384616"	""	"2015"	"STK11"	"0.88"	"0.41"	"serine/threonine kinase 11"	"0.99991"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2015"	"58"	"280"	"1"	"954"	"238"	"0"	"R-HSA-1430728,R-HSA-162582,R-HSA-74160"	"Metabolism,Signal Transduction,Gene expression (Transcription)"	"Kinase"	"0.85"	"Neoplastic Process (T191)"	"disease"	"Q15831,A0A0S2Z4D1"	"C0152013"	"ENSG00000118046"	"6794"	"protein-coding"	"0"	"12"	"10"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9090909090909091"	""	"2016"	"TYMS"	"0.92"	"0.41"	"thymidylate synthetase"	"2.5709E-4"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2016"	"49"	"280"	"1"	"13"	"238"	"0"	"R-HSA-1430728,R-HSA-1640170"	"Metabolism,Cell Cycle"	"Enzyme"	"0.85"	"Neoplastic Process (T191)"	"disease"	"Q53Y97,P04818"	"C0152013"	"ENSG00000176890"	"7298"	"protein-coding"	"1"	"7"	"11"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2011"	"ERCC1"	"0.88"	"0.43"	"ERCC excision repair 1, endonuclease non-catalytic subunit"	"9.3575E-13"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2011"	"49"	"280"	"1"	"16"	"238"	"0"	""	""	"Enzyme"	"0.85"	"Neoplastic Process (T191)"	"disease"	"P07992"	"C0152013"	"ENSG00000012061"	"2067"	"protein-coding"	"1"	"4"	"5"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9642857142857143"	""	""	"CCND1"	"0.88"	"0.32"	"cyclin D1"	"0.71899"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"69"	"280"	"0"	"16"	"238"	"0"	"R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-4839726,R-HSA-74160"	"Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Chromatin organization,Gene expression (Transcription)"	"Enzyme modulator"	"0.85"	"Neoplastic Process (T191)"	"disease"	"P24385,Q6FI00"	"C0152013"	"ENSG00000110092"	"595"	"protein-coding"	"1"	"6"	"5"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.8461538461538461"	""	""	"FGFR3"	"0.88"	"0.35"	"fibroblast growth factor receptor 3"	"0.99861"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"79"	"280"	"0"	"86"	"238"	"0"	"R-HSA-162582,R-HSA-1643685"	"Signal Transduction,Disease"	"Kinase"	"0.85"	"Neoplastic Process (T191)"	"disease"	"Q0IJ44,P22607"	"C0152013"	"ENSG00000068078"	"2261"	"protein-coding"	"1"	"0"	"0"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2013"	"CHRNA3"	"0.92"	"0.34"	"cholinergic receptor nicotinic alpha 3 subunit"	"2.6717E-10"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"26"	"280"	"6"	"51"	"238"	"1"	"R-HSA-112316"	"Neuronal System"	"Ion channel"	"0.8"	"Neoplastic Process (T191)"	"disease"	"P32297"	"C0152013"	"ENSG00000080644"	"1136"	"protein-coding"	"0"	"0"	"0"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2021"	"FOXA1"	"0.88"	"0.48"	"forkhead box A1"	"0.89395"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2021"	"23"	"280"	"1"	"0"	"238"	"0"	"R-HSA-1266738,R-HSA-162582"	"Developmental Biology,Signal Transduction"	"Transcription factor"	"0.8"	"Neoplastic Process (T191)"	"disease"	"P55317"	"C0152013"	"ENSG00000129514"	"3169"	"protein-coding"	"0"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9655172413793104"	""	""	"RBM10"	"0.83"	"0.55"	"RNA binding motif protein 10"	""	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"11"	"280"	"0"	"21"	"238"	"0"	"R-HSA-8953854"	"Metabolism of RNA"	""	"0.8"	"Neoplastic Process (T191)"	"disease"	"P98175,Q7Z3D7,A0A0S2Z4X1,A0A0S2Z4W4"	"C0152013"	"ENSG00000182872"	"8241"	"protein-coding"	"0"	"2"	"2"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.85"	""	""	"ATM"	"0.88"	"0.36"	"ATM serine/threonine kinase"	"1.2568E-69"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"104"	"280"	"0"	"6562"	"238"	"4"	"R-HSA-1474165,R-HSA-1640170,R-HSA-1643685,R-HSA-73894,R-HSA-74160,R-HSA-8953897,R-HSA-9612973"	"Reproduction,Cell Cycle,Disease,DNA Repair,Gene expression (Transcription),Cellular responses to stimuli,Autophagy"	"Kinase"	"0.8"	"Neoplastic Process (T191)"	"disease"	"Q13315,A0AAQ5BH18"	"C0152013"	"ENSG00000149311"	"472"	"protein-coding"	"0"	"3"	"2"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9574468085106383"	""	""	"EGF"	"0.92"	"0.32"	"epidermal growth factor"	"1.2301E-17"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"40"	"280"	"0"	"98"	"238"	"0"	"R-HSA-109582,R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-5653656,R-HSA-8953897"	"Hemostasis,Developmental Biology,Signal Transduction,Disease,Vesicle-mediated transport,Cellular responses to stimuli"	""	"0.8"	"Neoplastic Process (T191)"	"disease"	"P01133"	"C0152013"	"ENSG00000138798"	"1950"	"protein-coding"	"0"	"11"	"8"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9743589743589743"	""	"2013"	"PTEN"	"0.88"	"0.3"	"phosphatase and tensin homolog"	"0.048008"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"157"	"280"	"6"	"1253"	"238"	"1"	""	""	"Enzyme"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P60484,F6KD01"	"C0152013"	"ENSG00000171862"	"5728"	"protein-coding"	"0"	"8"	"8"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2013"	"CHRNA5"	"0.75"	"0.55"	"cholinergic receptor nicotinic alpha 5 subunit"	""	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"26"	"280"	"6"	"32"	"238"	"1"	"R-HSA-112316"	"Neuronal System"	"Ion channel"	"0.75"	"Neoplastic Process (T191)"	"disease"	"Q6EWN4,H0YM98,P30532"	"C0152013"	"ENSG00000169684"	"1138"	"protein-coding"	"0"	"2"	"2"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.926829268292683"	""	"2013"	"TGFB2"	"0.88"	"0.31"	"transforming growth factor beta 2"	"0.99606"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"38"	"280"	"6"	"277"	"238"	"0"	"R-HSA-109582,R-HSA-1474244,R-HSA-162582"	"Hemostasis,Extracellular matrix organization,Signal Transduction"	"Signaling"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P61812,Q59EG9"	"C0152013"	"ENSG00000092969"	"7042"	"protein-coding"	"0"	"6"	"5"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2013"	"MUC5AC"	"0.83"	"0.43"	"mucin 5AC, oligomeric mucus/gel-forming"	"7.7777E-22"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"4"	"280"	"6"	"0"	"238"	"0"	"R-HSA-1643685,R-HSA-168256,R-HSA-392499"	"Disease,Immune System,Metabolism of proteins"	"Enzyme modulator"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P98088"	"C0152013"	"ENSG00000215182"	"4586"	"protein-coding"	"0"	"3"	"2"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2013"	"RB1"	"0.88"	"0.36"	"RB transcriptional corepressor 1"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"56"	"280"	"6"	"1119"	"238"	"0"	"R-HSA-1640170,R-HSA-1643685,R-HSA-74160,R-HSA-8953897"	"Cell Cycle,Disease,Gene expression (Transcription),Cellular responses to stimuli"	"Nucleic acid binding"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P06400"	"C0152013"	"ENSG00000139687"	"5925"	"protein-coding"	"0"	"3"	"4"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9545454545454546"	""	"2013"	"AKT1"	"0.88"	"0.35"	"AKT serine/threonine kinase 1"	"0.99533"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"75"	"280"	"6"	"158"	"238"	"0"	"R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-5653656,R-HSA-74160,R-HSA-8953854,R-HSA-8953897"	"Hemostasis,Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription),Metabolism of RNA,Cellular responses to stimuli"	"Kinase"	"0.75"	"Neoplastic Process (T191)"	"disease"	"B0LPE5,P31749,B3KVH4"	"C0152013"	"ENSG00000142208"	"207"	"protein-coding"	"0"	"6"	"2"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9117647058823529"	""	"2012"	"EML4"	"0.63"	"0.57"	"EMAP like 4"	"3.6892E-7"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2012"	"4"	"280"	"2"	"8"	"238"	"0"	"R-HSA-1640170,R-HSA-1643685"	"Cell Cycle,Disease"	""	"0.75"	"Neoplastic Process (T191)"	"disease"	"Q9HC35"	"C0152013"	"ENSG00000143924"	"27436"	"protein-coding"	"0"	"5"	"5"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2016"	"TOP2A"	"0.88"	"0.48"	"DNA topoisomerase II alpha"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2016"	"14"	"280"	"1"	"2"	"238"	"0"	"R-HSA-1640170,R-HSA-392499"	"Cell Cycle,Metabolism of proteins"	""	"0.75"	"Neoplastic Process (T191)"	"disease"	"P11388"	"C0152013"	"ENSG00000131747"	"7153"	"protein-coding"	"0"	"0"	"0"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2012"	"CLPTM1L"	"0.88"	"0.56"	"CLPTM1 like"	"7.718E-7"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2012"	"29"	"280"	"1"	"19"	"238"	"3"	""	""	"Enzyme"	"0.75"	"Neoplastic Process (T191)"	"disease"	"Q96KA5"	"C0152013"	"ENSG00000049656"	"81037"	"protein-coding"	"0"	"0"	"0"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9411764705882353"	""	"2003"	"AHR"	"0.96"	"0.39"	"aryl hydrocarbon receptor"	"0.0077533"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2003"	"79"	"280"	"1"	"3"	"238"	"0"	"R-HSA-1430728"	"Metabolism"	"Transcription factor"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P35869"	"C0152013"	"ENSG00000106546"	"196"	"protein-coding"	"0"	"7"	"5"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2015"	"SFTPC"	"0.79"	"0.52"	"surfactant protein C"	"0.0031023"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2015"	"34"	"280"	"1"	"35"	"238"	"0"	"R-HSA-1643685,R-HSA-392499"	"Disease,Metabolism of proteins"	""	"0.75"	"Neoplastic Process (T191)"	"disease"	"A0A0S2Z4Q0,P11686,E5RI64"	"C0152013"	"ENSG00000168484"	"6440"	"protein-coding"	"0"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.8813559322033898"	""	"2015"	"TTF1"	"0.75"	"0.48"	"transcription termination factor 1"	"3.0666E-17"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2015"	"3"	"280"	"1"	"0"	"238"	"0"	"R-HSA-392499,R-HSA-74160"	"Metabolism of proteins,Gene expression (Transcription)"	""	"0.75"	"Neoplastic Process (T191)"	"disease"	"A0A087WY09,Q15361"	"C0152013"	"ENSG00000125482"	"7270"	"protein-coding"	"0"	"4"	"5"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2016"	"RRM2"	"0.88"	"0.52"	"ribonucleotide reductase regulatory subunit M2"	"0.99999"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2016"	"10"	"280"	"1"	"1"	"238"	"0"	"R-HSA-1430728,R-HSA-1640170,R-HSA-74160"	"Metabolism,Cell Cycle,Gene expression (Transcription)"	"Enzyme"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P31350"	"C0152013"	"ENSG00000171848"	"6241"	"protein-coding"	"0"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2010"	"ALB"	"0.92"	"0.28"	"albumin"	"0.10648"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2010"	"89"	"280"	"1"	"45"	"238"	"0"	""	""	"Transporter"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P02768"	"C0152013"	"ENSG00000163631"	"213"	"protein-coding"	"1"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9444444444444444"	""	"2014"	"SOX2"	"0.88"	"0.39"	"SRY-box transcription factor 2"	"0.9993"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2014"	"28"	"280"	"1"	"67"	"238"	"0"	"R-HSA-1266738,R-HSA-162582,R-HSA-168256,R-HSA-74160"	"Developmental Biology,Signal Transduction,Immune System,Gene expression (Transcription)"	"Transcription factor"	"0.75"	"Neoplastic Process (T191)"	"disease"	"A0A0U3FYV6,P48431"	"C0152013"	"ENSG00000181449"	"6657"	"protein-coding"	"0"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.7142857142857143"	""	"2014"	"TP63"	"0.88"	"0.42"	"tumor protein p63"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2014"	"67"	"280"	"1"	"163"	"238"	"7"	""	""	"Transcription factor"	"0.75"	"Neoplastic Process (T191)"	"disease"	"A0A141PNN4,C9D7D0,Q9H3D4,A0A0S2Z4N6,A0A0S2Z4N5,B7Z8X6,A0A141PNN3"	"C0152013"	"ENSG00000073282"	"8626"	"protein-coding"	"0"	"1"	"1"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2010"	"SFN"	"0.79"	"0.48"	"stratifin"	"0.96481"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2010"	"13"	"280"	"1"	"1"	"238"	"0"	"R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-5357801,R-HSA-5653656,R-HSA-74160"	"Signal Transduction,Cell Cycle,Disease,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription)"	"Chaperone"	"0.75"	"Neoplastic Process (T191)"	"disease"	"P31947"	"C0152013"	"ENSG00000175793"	"2810"	"protein-coding"	"0"	"0"	"0"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"1.0"	""	"2015"	"BAP1"	"0.83"	"0.43"	"BRCA1 associated deubiquitinase 1"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2015"	"65"	"280"	"1"	"929"	"238"	"0"	"R-HSA-392499,R-HSA-73894"	"Metabolism of proteins,DNA Repair"	"Enzyme"	"0.75"	"Neoplastic Process (T191)"	"disease"	"Q92560"	"C0152013"	"ENSG00000163930"	"8314"	"protein-coding"	"0"	"0"	"0"
