"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2006"	"LTF"	"0.92"	"0.4"	"lactotransferrin"	"4.0137E-31"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2022"	"24"	"76"	"2"	"4"	"660"	"0"	"R-HSA-1643685,R-HSA-168256,R-HSA-392499"	"Disease,Immune System,Metabolism of proteins"	"Enzyme"	"0.9"	"Disease or Syndrome (T047)"	"disease"	"P02788,Q2TUW9,V9HWI4,E7ER44,B3KSL2"	"C0009324"	"ENSG00000012223"	"4057"	"protein-coding"	"14"	"3"	"3"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.75"	""	""	"IL1RN"	"0.92"	"0.36"	"interleukin 1 receptor antagonist"	"0.0055013"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	""	"133"	"76"	"0"	"97"	"660"	"0"	"R-HSA-168256"	"Immune System"	""	"0.9"	"Disease or Syndrome (T047)"	"disease"	"P18510"	"C0009324"	"ENSG00000136689"	"3557"	"protein-coding"	"1"	"5"	"4"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9230769230769231"	""	"2008"	"NKX2-3"	"0.5"	"0.66"	"NK2 homeobox 3"	"0.92485"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"3"	"76"	"3"	"3"	"660"	"1"	""	""	"Transcription factor"	"0.9"	"Disease or Syndrome (T047)"	"disease"	"Q8TAU0"	"C0009324"	"ENSG00000119919"	"159296"	"protein-coding"	"0"	"2"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2008"	"MST1"	"0.83"	"0.47"	"macrophage stimulating 1"	"1.3718E-20"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"7"	"76"	"2"	"4"	"660"	"1"	"R-HSA-162582"	"Signal Transduction"	"Enzyme"	"0.85"	"Disease or Syndrome (T047)"	"disease"	"Q53GN8,P26927,G3XAK1"	"C0009324"	"ENSG00000173531"	"4485"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8260869565217391"	""	"2015"	"HLA-DRB1"	"0.88"	"0.37"	"major histocompatibility complex, class II, DR beta 1"	""	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2015"	"135"	"76"	"1"	"21"	"660"	"0"	"R-HSA-168256"	"Immune System"	"Immune response"	"0.85"	"Disease or Syndrome (T047)"	"disease"	"X5DNQ0,D7RIH8,P01911,A0A224MM52,Q5Y7D1"	"C0009324"	"ENSG00000196126"	"3123"	"protein-coding"	"0"	"5"	"8"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	""	"BTNL2"	"0.83"	"0.44"	"butyrophilin like 2"	"5.3783E-16"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	""	"13"	"76"	"0"	"42"	"660"	"0"	""	""	"Enzyme modulator"	"0.85"	"Disease or Syndrome (T047)"	"disease"	"Q9UIR0,A0PJV4"	"C0009324"	"ENSG00000204290"	"56244"	"protein-coding"	"0"	"2"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8181818181818182"	""	"2008"	"IL12B"	"0.96"	"0.34"	"interleukin 12B"	"4.3903E-7"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2011"	"29"	"76"	"3"	"93"	"660"	"0"	"R-HSA-168256"	"Immune System"	"Signaling"	"0.85"	"Disease or Syndrome (T047)"	"disease"	"P29460"	"C0009324"	"ENSG00000113302"	"3593"	"protein-coding"	"2"	"8"	"11"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8095238095238095"	""	"2010"	"MPO"	"0.92"	"0.36"	"myeloperoxidase"	"3.2783E-16"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2013"	"55"	"76"	"3"	"18"	"660"	"0"	"R-HSA-168256"	"Immune System"	"Enzyme"	"0.85"	"Disease or Syndrome (T047)"	"disease"	"P05164"	"C0009324"	"ENSG00000005381"	"4353"	"protein-coding"	"3"	"12"	"10"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9333333333333333"	""	"2022"	"ALB"	"0.92"	"0.28"	"albumin"	"0.10648"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2022"	"89"	"76"	"1"	"45"	"660"	"0"	""	""	"Transporter"	"0.85"	"Disease or Syndrome (T047)"	"disease"	"P02768"	"C0009324"	"ENSG00000163631"	"213"	"protein-coding"	"34"	"16"	"14"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9473684210526315"	""	"2009"	"CDH1"	"0.88"	"0.33"	"cadherin 1"	"0.85165"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2009"	"74"	"76"	"1"	"1636"	"660"	"0"	"R-HSA-1266738,R-HSA-1474244,R-HSA-1500931,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-5357801"	"Developmental Biology,Extracellular matrix organization,Cell-Cell communication,Signal Transduction,Disease,Immune System,Programmed Cell Death"	""	"0.85"	"Disease or Syndrome (T047)"	"disease"	"A0A0U2ZQU7,B3GN61,Q9UII7,P12830"	"C0009324"	"ENSG00000039068"	"999"	"protein-coding"	"1"	"4"	"3"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2009"	"SLC26A3"	"0.75"	"0.55"	"solute carrier family 26 member 3"	"1.1004E-11"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2009"	"8"	"76"	"1"	"103"	"660"	"0"	"R-HSA-1643685,R-HSA-382551"	"Disease,Transport of small molecules"	"Transporter"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"P40879"	"C0009324"	"ENSG00000091138"	"1811"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8461538461538461"	""	""	"ABCB1"	"0.92"	"0.33"	"ATP binding cassette subfamily B member 1"	"1.7784E-5"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	""	"88"	"76"	"0"	"16"	"660"	"0"	"R-HSA-382551,R-HSA-9748784"	"Transport of small molecules,Drug ADME"	"Transporter"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"P08183,A4D1D2"	"C0009324"	"ENSG00000085563"	"5243"	"protein-coding"	"0"	"8"	"10"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.875"	""	"2005"	"CCL20"	"0.88"	"0.46"	"C-C motif chemokine ligand 20"	"0.33355"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2005"	"18"	"76"	"1"	"0"	"660"	"0"	"R-HSA-162582,R-HSA-168256"	"Signal Transduction,Immune System"	"Signaling"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"P78556"	"C0009324"	"ENSG00000115009"	"6364"	"protein-coding"	"1"	"1"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9090909090909091"	""	"2010"	"IRGM"	"0.63"	"0.61"	"immunity related GTPase M"	"0.3748"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"6"	"76"	"1"	"9"	"660"	"3"	""	""	""	"0.75"	"Disease or Syndrome (T047)"	"disease"	"A1A4Y4"	"C0009324"	"ENSG00000237693"	"345611"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2009"	"HNF4A"	"0.88"	"0.44"	"hepatocyte nuclear factor 4 alpha"	"0.99919"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2009"	"17"	"76"	"1"	"229"	"660"	"0"	""	""	"Nuclear receptor"	"0.75"	"Disease or Syndrome (T047)"	"disease"	"B9VVT8,F1D8S2,F1D8T0,P41235,F1D8T1"	"C0009324"	"ENSG00000101076"	"3172"	"protein-coding"	"0"	"3"	"2"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.7916666666666666"	""	"2004"	"ICAM1"	"0.92"	"0.33"	"intercellular adhesion molecule 1"	"1.834E-6"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2004"	"61"	"76"	"1"	"7"	"660"	"0"	"R-HSA-1474244,R-HSA-168256"	"Extracellular matrix organization,Immune System"	""	"0.75"	"Disease or Syndrome (T047)"	"disease"	"P05362,A0A384MEK5"	"C0009324"	"ENSG00000090339"	"3383"	"protein-coding"	"0"	"4"	"4"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9"	""	"2012"	"MMP9"	"0.92"	"0.3"	"matrix metallopeptidase 9"	"3.7082E-25"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2012"	"107"	"76"	"1"	"38"	"660"	"0"	"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256"	"Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System"	"Enzyme"	"0.75"	"Disease or Syndrome (T047)"	"disease"	"P14780"	"C0009324"	"ENSG00000100985"	"4318"	"protein-coding"	"0"	"9"	"5"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2006"	"SLC11A1"	"0.88"	"0.47"	"solute carrier family 11 member 1"	"2.7796E-16"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2006"	"40"	"76"	"1"	"3"	"660"	"0"	"R-HSA-168256,R-HSA-382551"	"Immune System,Transport of small molecules"	"Transporter"	"0.75"	"Disease or Syndrome (T047)"	"disease"	"P49279"	"C0009324"	"ENSG00000018280"	"6556"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2009"	"LAMB1"	"0.88"	"0.55"	"laminin subunit beta 1"	"4.5176E-13"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2009"	"13"	"76"	"1"	"31"	"660"	"0"	"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-392499"	"Developmental Biology,Extracellular matrix organization,Signal Transduction,Metabolism of proteins"	"Enzyme modulator"	"0.75"	"Disease or Syndrome (T047)"	"disease"	"P07942,Q8TAS6"	"C0009324"	"ENSG00000091136"	"3912"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2013"	"CASP3"	"0.88"	"0.37"	"caspase 3"	"0.066565"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2013"	"39"	"76"	"1"	"1"	"660"	"0"	""	""	"Enzyme"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"P42574"	"C0009324"	"ENSG00000164305"	"836"	"protein-coding"	"3"	"3"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8"	""	"2022"	"HP"	"0.96"	"0.37"	"haptoglobin"	""	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2022"	"53"	"76"	"1"	"3"	"660"	"0"	"R-HSA-168256,R-HSA-5653656"	"Immune System,Vesicle-mediated transport"	""	"0.7"	"Disease or Syndrome (T047)"	"disease"	"A0A0C4DGL8,P00738,Q6PEJ8"	"C0009324"	"ENSG00000257017"	"3240"	"protein-coding"	"7"	"2"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2010"	"DEFA5"	"0.46"	"0.67"	"defensin alpha 5"	"5.9751E-5"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"9"	"76"	"1"	"1"	"660"	"0"	"R-HSA-168256,R-HSA-8953897"	"Immune System,Cellular responses to stimuli"	""	"0.7"	"Disease or Syndrome (T047)"	"disease"	"Q01523"	"C0009324"	"ENSG00000164816"	"1670"	"protein-coding"	"1"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2011"	"CXCR2"	"0.88"	"0.43"	"C-X-C motif chemokine receptor 2"	"0.24481"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2011"	"24"	"76"	"1"	"3"	"660"	"0"	"R-HSA-162582,R-HSA-168256"	"Signal Transduction,Immune System"	"G-protein coupled receptor"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"P25025,Q53PC4"	"C0009324"	"ENSG00000180871"	"3579"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2011"	"IRF5"	"0.79"	"0.48"	"interferon regulatory factor 5"	"0.87295"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2011"	"13"	"76"	"1"	"18"	"660"	"1"	"R-HSA-168256"	"Immune System"	"Transcription factor"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"Q13568,B7Z1M2,A0A0G2USB5"	"C0009324"	"ENSG00000128604"	"3663"	"protein-coding"	"0"	"2"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2008"	"PTPN2"	"0.83"	"0.5"	"protein tyrosine phosphatase non-receptor type 2"	"0.50712"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2008"	"7"	"76"	"1"	"25"	"660"	"4"	"R-HSA-168256"	"Immune System"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"P17706,A8K3N4,K7EQG9,Q59F91"	"C0009324"	"ENSG00000175354"	"5771"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2010"	"CARD9"	"0.79"	"0.53"	"caspase recruitment domain family member 9"	"6.0448E-17"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"8"	"76"	"1"	"208"	"660"	"5"	""	""	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q9H257"	"C0009324"	"ENSG00000187796"	"64170"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2013"	"SPHK1"	"0.88"	"0.47"	"sphingosine kinase 1"	"1.7249E-4"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2013"	"6"	"76"	"1"	"1"	"660"	"0"	""	""	"Kinase"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q53ZR5,Q9NYA1"	"C0009324"	"ENSG00000176170"	"8877"	"protein-coding"	"0"	"6"	"3"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2008"	"CCNY"	"0.63"	"0.66"	"cyclin Y"	"0.028423"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2008"	"3"	"76"	"1"	"4"	"660"	"1"	""	""	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q8ND76,B7Z8E4"	"C0009324"	"ENSG00000108100"	"219771"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2022"	"C3"	"0.88"	"0.41"	"complement C3"	""	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2022"	"36"	"76"	"1"	"160"	"660"	"0"	""	""	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"B4DR57,V9HWA9,P01024"	"C0009324"	"ENSG00000125730"	"718"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.6666666666666666"	""	"2022"	"APOA4"	"0.88"	"0.51"	"apolipoprotein A4"	"5.7529E-7"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2022"	"9"	"76"	"1"	"3"	"660"	"0"	"R-HSA-1430728,R-HSA-382551,R-HSA-392499,R-HSA-9709957"	"Metabolism,Transport of small molecules,Metabolism of proteins,Sensory Perception"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"P06727"	"C0009324"	"ENSG00000110244"	"337"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2017"	"ADCY7"	"0.75"	"0.61"	"adenylate cyclase 7"	"2.8053E-13"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2017"	"14"	"76"	"1"	"5"	"660"	"2"	"R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-8953897"	"Neuronal System,Metabolism,Signal Transduction,Disease,Transport of small molecules,Cellular responses to stimuli"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"F5H4D1,B3KSJ0,Q86YI0,P51828"	"C0009324"	"ENSG00000121281"	"113"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2010"	"ORMDL3"	"0.75"	"0.6"	"ORMDL sphingolipid biosynthesis regulator 3"	"0.16506"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"3"	"76"	"1"	"4"	"660"	"0"	"R-HSA-1430728,R-HSA-168256"	"Metabolism,Immune System"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q8N138"	"C0009324"	"ENSG00000172057"	"94103"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2011"	"IL7R"	"0.79"	"0.45"	"interleukin 7 receptor"	"2.4867E-8"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2011"	"23"	"76"	"1"	"215"	"660"	"1"	"R-HSA-168256,R-HSA-5653656"	"Immune System,Vesicle-mediated transport"	"Receptor"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"P16871"	"C0009324"	"ENSG00000168685"	"3575"	"protein-coding"	"1"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2005"	"RELA"	"0.92"	"0.4"	"RELA proto-oncogene, NF-kB subunit"	"0.99992"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2005"	"49"	"76"	"1"	"8"	"660"	"0"	""	""	"Transcription factor"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q04206,A0A087X0W8"	"C0009324"	"ENSG00000173039"	"5970"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2009"	"GHRL"	"0.92"	"0.37"	"ghrelin and obestatin prepropeptide"	"9.528E-5"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2009"	"26"	"76"	"1"	"4"	"660"	"0"	"R-HSA-392499"	"Metabolism of proteins"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q9UBU3"	"C0009324"	"ENSG00000157017"	"51738"	"protein-coding"	"0"	"4"	"2"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	""	"GC"	"0.88"	"0.45"	"GC vitamin D binding protein"	""	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	""	"25"	"76"	"0"	"11"	"660"	"0"	"R-HSA-1430728"	"Metabolism"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"P02774"	"C0009324"	"ENSG00000145321"	"2638"	"protein-coding"	"1"	"1"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8571428571428571"	""	""	"GSTM1"	"0.96"	"0.38"	"glutathione S-transferase mu 1"	""	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	""	"172"	"76"	"0"	"4"	"660"	"0"	"R-HSA-1430728,R-HSA-9748784"	"Metabolism,Drug ADME"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"P09488,X5DR03,X5D932"	"C0009324"	"ENSG00000134184"	"2944"	"protein-coding"	"0"	"0"	"0"
